Τμήμα;Γεωγραφικό πλάτος (μοίρες);Γεωγραφικό μήκος (μοίρες);Χρόνος;
alex;37977979;23725834;21:13:17;
alex;37978049;2372585;21:13:18;
alex;3797807;23725656;21:13:19;
alex;37978074;23725778;21:13:20;
alex;37978136;23725791;21:13:21;
alex;37978116;23725892;21:13:33;
alex;37978109;23725919;21:13:46;
alex;37978138;2372595;21:13:47;
alex;37978165;23725972;21:13:48;
alex;3797819;23725999;21:13:49;
alex;37978197;23726025;21:13:50;
alex;37978219;23726048;21:13:51;
alex;37978258;23726022;21:13:57;
alex;3797828;2372602;21:13:58;
alex;37978253;23726031;21:14:06;
alex;37978218;23726002;21:14:07;
alex;37978191;23725989;21:14:08;
alex;37978165;23725976;21:14:09;
alex;3797813;23726001;21:14:15;
alex;37978125;23726014;21:14:16;
alex;37978109;23726014;21:14:18;
alex;37978081;23725989;21:14:19;
alex;37978054;23725973;21:14:24;
alex;37978105;23725804;21:14:32;
alex;37978133;23725839;21:14:39;
alex;37978153;23725834;21:14:40;
alex;37978155;23725801;21:14:42;
alex;37978146;23725775;21:14:44;
alex;37978144;2372579;21:14:52;
alex;37978129;23725838;21:14:53;
alex;37978096;23725814;21:14:58;
alex;3797808;23725814;21:14:59;
alex;37978102;23725771;21:15:09;
alex;37978103;23725758;21:15:10;
alex;37978067;23725782;21:15:17;
alex;37978061;23725788;21:15:18;
alex;37978098;23725806;21:15:22;
alex;37978106;23725835;21:15:23;
alex;37978106;23725845;21:15:31;
alex;37978198;23725807;21:15:32;
alex;3797821;23725837;21:15:48;
alex;37978221;2372588;21:15:49;
alex;37978252;23725914;21:15:56;
alex;37978262;23725932;21:15:57;
alex;37978226;23725901;21:16:05;
alex;37978209;23725903;21:16:06;
alex;37978209;23725896;21:16:15;
alex;37978274;23725934;21:16:16;
alex;37978302;23725978;21:16:37;
alex;37978314;23725982;21:16:38;
alex;37978272;23725967;21:16:46;
alex;37978265;23725973;21:16:47;
alex;37978284;23726012;21:17:01;
alex;3797827;2372603;21:17:02;
alex;37978235;23726056;21:17:10;
alex;37978225;23726049;21:17:11;
alex;37978193;23726009;21:17:26;
alex;37978173;23726021;21:17:27;
alex;37978153;2372602;21:17:28;
alex;37978125;23726022;21:17:29;
alex;37978088;23726027;21:17:30;
alex;37978061;23726025;21:17:31;
alex;37978033;23726011;21:17:32;
alex;37978015;23725985;21:17:33;
alex;37977999;23725934;21:17:35;
alex;37977994;23725909;21:17:36;
alex;37978012;23725903;21:17:38;
alex;37978042;23725914;21:17:39;
alex;37978076;23725905;21:17:42;
alex;37978089;23725903;21:17:43;
alex;37978101;23725892;21:18:05;
alex;37978136;23725882;21:18:06;
alex;37978172;23725867;21:18:19;
alex;37978185;23725859;21:18:20;
alex;37978228;23725867;21:18:53;
alex;3797823;23725868;21:18:54;
alex;37978264;23725882;21:19:15;
alex;37978279;23725887;21:19:16;
alex;37978298;23725888;21:19:17;
alex;37978327;23725888;21:19:18;
alex;37978285;237259;21:19:35;
alex;3797828;2372589;21:19:36;
alex;37978262;23725937;21:19:40;
alex;37978263;23725949;21:19:41;
elena;37977590;23725892;21:19:49;
elena;37977590;23725892;21:19:49;
elina;37978407;23726138;21:19:51;
elina;37978141;23725794;21:19:54;
elina;37978069;23725682;21:19:58;
alex;37978276;23725911;21:20:07;
alex;37978259;23725873;21:20:08;
elena;37977540;23725792;21:20:22;
elena;37977540;23725792;21:20:22;
elena;37977494;23725682;21:20:33;
elena;37977494;23725682;21:20:33;
alex;37978256;23725879;21:20:35;
alex;37978212;23725875;21:20:36;
alex;3797822;23725826;21:20:43;
alex;37978223;23725816;21:20:44;
alex;37978225;23725759;21:20:52;
alex;3797823;23725753;21:20:53;
elena;37977426;23725597;21:20:56;
elena;37977426;23725597;21:20:56;
alex;37978236;23725805;21:21:02;
alex;37978244;23725813;21:21:03;
elena;37977324;23725622;21:21:09;
elena;37977324;23725622;21:21:09;
elena;37977233;23725638;21:21:14;
elena;37977233;23725638;21:21:14;
phillip;37977255;23726012;21:21:18;
phillip;37977402;23726009;21:21:19;
phillip;37977493;23725836;21:21:21;
elina;37977911;23725662;21:21:22;
alex;3797827;23725771;21:21:23;
elina;37977824;23725582;21:21:24;
alex;37978274;23725771;21:21:24;
phillip;37977465;23725970;21:21:24;
elina;37977701;23725531;21:21:26;
alex;37978296;23725731;21:21:27;
alex;37978304;2372572;21:21:28;
elina;37977612;23725502;21:21:28;
alex;379783;23725666;21:21:33;
alex;37978298;23725661;21:21:34;
alex;3797829;23725615;21:21:38;
alex;37978285;23725605;21:21:39;
alex;37978263;23725555;21:21:41;
phillip;37977468;23726097;21:21:41;
alex;37978251;23725534;21:21:42;
elina;37977579;23725605;21:21:43;
alex;37978217;23725502;21:21:45;
alex;37978212;2372549;21:21:46;
elena;37977173;23725724;21:21:47;
elena;37977173;23725724;21:21:47;
alex;37978179;23725461;21:21:48;
phillip;37977437;23726212;21:21:48;
alex;37978156;23725452;21:21:49;
alex;37978114;23725424;21:21:50;
elina;37977574;23725713;21:21:50;
alex;37978082;23725412;21:21:51;
alex;37978068;23725395;21:21:52;
alex;37978029;23725392;21:21:54;
elena;37977038;23725742;21:21:54;
elena;37977038;23725742;21:21:54;
elina;37977537;23725809;21:21:54;
alex;37978017;23725385;21:21:55;
phillip;37977505;23726294;21:21:55;
alex;37977987;23725382;21:21:57;
alex;37977965;23725379;21:21:58;
elina;37977493;23725920;21:21:58;
alex;37977924;23725383;21:22:00;
alex;37977906;23725377;21:22:01;
phillip;37977596;23726332;21:22:01;
elina;37977399;23726025;21:22:02;
alex;37977864;23725364;21:22:04;
alex;37977855;23725368;21:22:05;
elena;37976943;23725713;21:22:06;
elena;37976943;23725713;21:22:06;
elina;37977383;23726130;21:22:07;
alex;37977829;237254;21:22:08;
alex;37977817;23725408;21:22:09;
elina;37977453;23726200;21:22:14;
alex;37977777;23725427;21:22:15;
alex;37977766;23725425;21:22:16;
elina;37977508;23726280;21:22:18;
alex;37977722;23725433;21:22:19;
alex;37977706;2372545;21:22:20;
phillip;37977670;23726406;21:22:20;
alex;37977671;23725471;21:22:22;
alex;37977651;23725493;21:22:23;
alex;37977629;23725512;21:22:24;
alex;37977612;23725529;21:22:25;
alex;37977574;23725559;21:22:28;
phillip;37977772;23726453;21:22:28;
alex;37977567;23725559;21:22:29;
elina;37977429;23726316;21:22:30;
phillip;37977868;23726466;21:22:33;
elena;37976837;23725688;21:22:35;
elena;37976837;23725688;21:22:35;
alex;37977567;23725566;21:22:39;
phillip;37977956;23726492;21:22:39;
alex;37977512;23725596;21:22:40;
elina;37977336;23726303;21:22:40;
alex;37977481;23725612;21:22:42;
alex;37977466;23725624;21:22:43;
alex;37977433;23725646;21:22:45;
phillip;37978040;23726534;21:22:45;
alex;37977415;23725652;21:22:46;
elina;37977251;23726255;21:22:46;
alex;37977379;23725644;21:22:49;
alex;37977366;23725646;21:22:50;
alex;37977338;23725669;21:22:53;
elina;37977183;23726319;21:22:53;
alex;37977317;23725675;21:22:54;
phillip;37978128;23726584;21:22:54;
alex;37977293;23725684;21:22:55;
alex;37977268;237257;21:22:56;
alex;37977233;2372572;21:22:57;
elena;37976731;23725713;21:22:58;
elena;37976731;23725713;21:22:58;
alex;37977205;23725738;21:22:58;
elina;37977204;23726421;21:22:59;
phillip;37978084;23726708;21:22:59;
alex;37977168;23725765;21:23:00;
alex;37977156;2372577;21:23:01;
phillip;37978021;23726808;21:23:03;
alex;37977112;2372578;21:23:08;
phillip;37977968;23726911;21:23:08;
alex;3797709;23725774;21:23:09;
alex;37977068;23725767;21:23:10;
alex;37977046;23725757;21:23:11;
alex;37977029;23725749;21:23:12;
alex;37976982;23725722;21:23:13;
alex;37976974;23725666;21:23:19;
alex;37976966;23725659;21:23:20;
phillip;37977936;23727029;21:23:20;
elina;37977180;23726558;21:23:23;
alex;37976939;23725644;21:23:24;
elena;37976614;23725808;21:23:25;
elena;37976614;23725808;21:23:25;
elina;37977158;23726666;21:23:26;
phillip;37977931;23727148;21:23:28;
elina;37977115;23726778;21:23:29;
elina;37977066;23726883;21:23:34;
phillip;37977880;23727252;21:23:34;
elena;37976492;23725835;21:23:39;
elena;37976492;23725835;21:23:39;
elina;37977036;23726980;21:23:39;
phillip;37977798;23727315;21:23:40;
elena;37976402;23725866;21:23:46;
elena;37976402;23725866;21:23:46;
elina;37977052;23727096;21:23:46;
elina;37977044;23727198;21:23:51;
phillip;37977768;23727437;21:23:56;
alex;37976747;23725213;21:23:58;
alex;37976908;23725209;21:24:01;
elina;37977005;23727303;21:24:02;
alex;37976918;23725155;21:24:04;
elena;37976308;23725834;21:24:04;
elena;37976308;23725834;21:24:04;
alex;37976909;23725121;21:24:05;
alex;37976934;23725075;21:24:09;
phillip;37977718;23727532;21:24:09;
alex;37976931;23725059;21:24:10;
elina;37977028;23727417;21:24:10;
alex;3797696;23725021;21:24:14;
elina;37976975;23727507;21:24:14;
phillip;37977763;23727653;21:24:14;
alex;37976961;23725006;21:24:15;
phillip;37977825;23727755;21:24:18;
elena;37976193;23725772;21:24:19;
elena;37976193;23725772;21:24:19;
elina;37976992;23727611;21:24:19;
alex;37976964;23724954;21:24:20;
alex;37976956;23724947;21:24:21;
phillip;37977857;23727872;21:24:24;
alex;;;21:24:29; google rules!!!
alex;;;21:24:29;ok..now we did cleaned out our log
elena;37976097;23725788;21:24:30;
elena;37976097;23725788;21:24:30;
elina;37976965;23727712;21:24:30;
phillip;37977845;23727986;21:24:31;
alex;;;21:24:32;ok..now we did cleaned out our log
alex;37976959;23724897;21:24:36;
alex;37976951;23724877;21:24:37;
elina;37976933;23727815;21:24:39;
phillip;37977795;23728101;21:24:39;
alex;37976947;2372483;21:24:40;
elena;37975987;23725758;21:24:40;
elena;37975987;23725758;21:24:40;
alex;3797695;23724819;21:24:41;
alex;3797696;23724767;21:24:45;
alex;37976961;23724752;21:24:46;
phillip;37977772;23728227;21:24:46;
elena;37975882;23725743;21:24:47;
elena;37975882;23725743;21:24:47;
elina;37976939;23727924;21:24:49;
phillip;37977772;23728348;21:24:49;
alex;37976964;23724698;21:24:50;
alex;37976969;23724686;21:24:51;
alex;37976985;2372465;21:24:53;
alex;37976994;23724633;21:24:54;
elina;37976931;23728028;21:24:55;
phillip;37977799;23728463;21:24:55;
alex;37977011;23724594;21:24:56;
alex;37977018;23724577;21:24:57;
elena;37975783;23725743;21:24:57;
elena;37975783;23725743;21:24:57;
alex;37977019;23724537;21:24:59;
alex;37977022;23724519;21:25:00;
elena;;;21:25:00; google rules!!!
elena;;;21:25:00;ok..now we did cleaned out our log
elina;37976871;23728106;21:25:01;
elena;;;21:25:03;get ready
elena;;;21:25:03;google rules!!!
elena;;;21:25:03;ok..now we did cleaned out our log
alex;37977027;23724466;21:25:05;
alex;37977027;23724454;21:25:06;
elena;;;21:25:06;get ready
elena;;;21:25:06;google rules!!!
elena;;;21:25:06;ok..now we did cleaned out our log
elina;37976861;23728210;21:25:09;
elena;;;21:25:09;get ready
elena;;;21:25:09;google rules!!!
elena;;;21:25:09;ok..now we did cleaned out our log
alex;37977025;23724399;21:25:10;
phillip;37977812;23728580;21:25:10;
alex;37977022;23724385;21:25:11;
elena;;;21:25:13;get ready
elena;;;21:25:13;google rules!!!
elena;;;21:25:13;ok..now we did cleaned out our log
alex;37977005;23724339;21:25:14;
alex;37977002;23724321;21:25:15;
elena;;;21:25:15;get ready
elena;;;21:25:15;google rules!!!
elena;;;21:25:15;ok..now we did cleaned out our log
elina;37976855;23728328;21:25:17;
alex;37976991;23724269;21:25:18;
elena;;;21:25:18;get ready
elena;;;21:25:18;google rules!!!
elena;;;21:25:18;ok..now we did cleaned out our log
alex;37976983;23724253;21:25:19;
elena;;;21:25:21;get ready
elena;;;21:25:21;google rules!!!
elena;;;21:25:21;ok..now we did cleaned out our log
alex;37976986;23724202;21:25:22;
alex;37976991;23724182;21:25:23;
alex;37977004;23724135;21:25:25;
phillip;37977818;23728696;21:25:25;
elena;;;21:25:25;get ready
elena;;;21:25:25;google rules!!!
elena;;;21:25:25;ok..now we did cleaned out our log
alex;37977014;23724103;21:25:26;
elena;37975761;23725613;21:25:26;
elena;37975761;23725613;21:25:26;
elina;37976796;23728428;21:25:27;
elena;;;21:25:27;get ready
elena;;;21:25:27;ok..now we did cleaned out our log
alex;37977034;23724056;21:25:28;
alex;37977036;23724039;21:25:29;
elena;37975650;23725599;21:25:29;
elena;37975650;23725599;21:25:29;
elena;37975574;23725527;21:25:31;
elena;37975574;23725527;21:25:31;
elena;;;21:25:31;get ready
elena;;;21:25:31;google rules!!!
elena;;;21:25:31;ok..now we did cleaned out our log
alex;37977049;23723991;21:25:32;
alex;37977054;23723978;21:25:33;
elena;37975506;23725417;21:25:33;
elena;37975506;23725417;21:25:33;
elina;37976772;23728553;21:25:33;
elena;;;21:25:33;get ready
elena;;;21:25:33;google rules!!!
elena;;;21:25:33;ok..now we did cleaned out our log
phillip;37977791;23728811;21:25:34;
elena;37975537;23725271;21:25:35;
elena;37975537;23725271;21:25:35;
alex;37977063;23723932;21:25:36;
alex;37977065;23723915;21:25:37;
elena;37975588;23725173;21:25:37;
elena;37975588;23725173;21:25:37;
elena;;;21:25:37;get ready
elena;;;21:25:37;google rules!!!
elena;;;21:25:37;ok..now we did cleaned out our log
elina;37976838;23728616;21:25:39;
elena;37975670;23725070;21:25:40;
elena;37975670;23725070;21:25:40;
phillip;37977791;23728942;21:25:40;
elena;;;21:25:40;get ready
elena;;;21:25:40;google rules!!!
elena;;;21:25:40;ok..now we did cleaned out our log
alex;3797708;23723874;21:25:41;
alex;37977083;2372386;21:25:42;
elena;;;21:25:43;get ready
elena;;;21:25:43;google rules!!!
elena;;;21:25:43;ok..now we did cleaned out our log
elena;37975719;23724950;21:25:44;
elena;37975719;23724950;21:25:44;
elina;37976853;23728728;21:25:45;
phillip;37977746;23729073;21:25:45;
phillip;;;21:25:45; new journey, new era
alex;37977104;23723813;21:25:46;
elena;;;21:25:46;get ready
elena;;;21:25:46;google rules!!!
elena;;;21:25:46;ok..now we did cleaned out our log
alex;37977103;23723789;21:25:47;
elena;;;21:25:47;get ready
elena;;;21:25:47;google rules!!!
elena;;;21:25:47;ok..now we did cleaned out our log
alex;3797713;23723748;21:25:50;
phillip;37977699;23729183;21:25:50;
